period,top_category,top_ratio
2024-12-30,생활_건강,155.1460
2025-01-06,생활_건강,163.6527
2025-01-13,생활_건강,160.2491
2025-01-20,생활_건강,144.1625
2025-01-27,생활_건강,142.5141
2025-02-03,생활_건강,165.8908
2025-02-10,생활_건강,163.6352
2025-02-17,생활_건강,166.4174
2025-02-24,생활_건강,158.3256
2025-03-03,생활_건강,158.4225
2025-03-10,생활_건강,152.9379
2025-03-17,생활_건강,149.2287
2025-03-24,생활_건강,143.6646
2025-03-31,생활_건강,145.8803
2025-04-07,생활_건강,148.9805
2025-04-14,생활_건강,148.7601
2025-04-21,생활_건강,140.6536
2025-04-28,생활_건강,132.0906
2025-05-05,생활_건강,137.8387
2025-05-12,생활_건강,133.7851
2025-05-19,생활_건강,125.7716
2025-05-26,생활_건강,122.4224
2025-06-02,생활_건강,119.8737
2025-06-09,생활_건강,123.7178
2025-06-16,생활_건강,122.7297
2025-06-23,생활_건강,123.3411
2025-06-30,생활_건강,128.6140
2025-07-07,생활_건강,128.7176
2025-07-14,생활_건강,125.3315
2025-07-21,생활_건강,120.2619
2025-07-28,생활_건강,111.0370
2025-08-04,생활_건강,106.8637
2025-08-11,생활_건강,101.4836
2025-08-18,생활_건강,104.8789
2025-08-25,생활_건강,104.3870
2025-09-01,생활_건강,106.0786
2025-09-08,생활_건강,101.2128
2025-09-15,생활_건강,97.8104
2025-09-22,생활_건강,89.5719
2025-09-29,생활_건강,76.5394
2025-10-06,생활_건강,81.4073
2025-10-13,생활_건강,90.4346
2025-10-20,생활_건강,85.6690
2025-10-27,생활_건강,81.8307
2025-11-03,생활_건강,82.2637
2025-11-10,생활_건강,81.0201
2025-11-17,생활_건강,79.2696
2025-11-24,생활_건강,78.0962
2025-12-01,생활_건강,82.2285
2025-12-08,생활_건강,80.0523
2025-12-15,생활_건강,75.5028
2025-12-22,생활_건강,69.1805
2025-12-29,생활_건강,69.5534
2026-01-05,생활_건강,72.5059
2026-01-12,생활_건강,70.0071
2026-01-19,생활_건강,64.1302
2026-01-26,생활_건강,63.3406
2026-02-02,생활_건강,63.8052
2026-02-09,생활_건강,57.4514
2026-02-16,생활_건강,56.6246
2026-02-23,생활_건강,59.5532
2026-03-02,생활_건강,58.7145
2026-03-09,생활_건강,59.0982
2026-03-16,생활_건강,57.1925
2026-03-23,생활_건강,56.2093
2026-03-30,생활_건강,55.8285
2026-04-06,생활_건강,56.4036
2026-04-13,생활_건강,53.6386
2026-04-20,생활_건강,61.1163
2026-04-27,생활_건강,51.7557
2026-05-04,생활_건강,51.7446
2026-05-11,생활_건강,50.5892
2026-05-18,생활_건강,49.5154
2026-05-25,생활_건강,49.5125
2026-06-01,생활_건강,48.3829
2026-06-08,생활_건강,49.0575
2026-06-15,생활_건강,35.7535
